name,email,phone,address,other_info
Ignalinos rajono savivaldybė Mielagėnų seniūnija,,(8-386) 4 52 46,LT-30175 Mielagėnai,
Ignalinos rajono savivaldybė Naujojo Daugėliškio seniūnija,,(8-386) 4 87 46,LT-30290 N. Daugėliškis,
Ignalinos rajono savivaldybė Rimšės seniūnija,,(8-386) 4 75 46,LT-30268 Rimšė,
Ignalinos rajono savivaldybė Tverečiaus seniūnija,,(8-386) 4 12 46,LT-30163 Tverečius,
Ignalinos rajono savivaldybė Vidiškių seniūnija,,(8-386) 4 62 31,"Melioratorių g. 8, LT-30235 Vidiškės",
Jonavos rajono savivaldybė Bukonių seniūnija,,8 349 49647,"Ukmergės g. 22, Bukonių k., Bukonių sen., Jonavos r. sav., LT-55418",
Jonavos rajono savivaldybė Dumsių seniūnija,,"8 349 47117, 8 349 78031, 8 349 78032","Pergalės g. 13, Šveicarijos km., Jonavos r.",
Jonavos rajono savivaldybė Jonavos miesto seniūnija,,8 349 60488,"Žeimių g. 13, LT-55158, Jonava",
Jonavos rajono savivaldybė Kulvos seniūnija,,"8 349 49470, 8 349 49417","Tarybų g. 2, Kulvos km., Kulvos sen., Jonavos r.",
Jonavos rajono savivaldybė Ruklos seniūnija,,"8 349 73101, 8 349 73317","Laumės g. 2, Rukla, Ruklos sen., Jonavos r.",
Jonavos rajono savivaldybė Upninkų seniūnija,,"8 349 35937, 8 349 35757","Jaunystės g. 7, Upninkų km., Upninkų sen., Jonavos r.",
Jonavos rajono savivaldybė Užusalių seniūnija,,"8 349 49217, 8 349 49280","Taikos g. 30, Užusaliai, Jonavos raj.",
Jonavos rajono savivaldybė Šilų seniūnija,,8 349 48417,"Beržų g. 2, Šilų km., Šilų sen., Jonavos r.",
Jonavos rajono savivaldybė Žeimių seniūnija,,8 349 78048,"Kauno g. 47, LT-55386, Žeimių miestelis, Jonavos raj.",
Joniškio rajono savivaldybė Gaižaičių seniūnija,,(8 426) 47 240,"Vilties g. 9, Gaižaičių k., Gaižaičių sen., Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Gataučių seniūnija,,(8 426) 47 618,"Mokyklos g. 5, Gataučiai, LT-84262 Joniškio r.",
Joniškio rajono savivaldybė Joniškio seniūnija,,(8 426) 69 157,"Livonijos g. 4 (118, 119 kab.), LT-84124 Joniškis",
Joniškio rajono savivaldybė Kepalių seniūnija,,(8 426) 45 445,"Audruvės g. 4, Kirnaičių k., Kepalių sen., 84198, Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Kriukų seniūnija,,(8 426) 45 210,"Dariaus ir Girėno g. 5, Kriukų mstl., Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Rudiškių seniūnija,,(8 426) 43 724,"Senoji g. 34, Rudiškių k., LT-84275 Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Satkūnų seniūnija,,(8 426) 43 342,"Satkūnų k., Sidabros g. 9., LT-84101 Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Saugėlaukio seniūnija,,(8 426) 48 300,"Parko g. 7, Bariūnų k., Saugėlaukio seniūnija, Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Skaistgirio seniūnija,,(8 426) 60 925,"Aušros g. 13, Skaistgirio mstl., Joniškio r. savivaldybė",
Joniškio rajono savivaldybė Žagarės seniūnija,,(8 426) 60 865,"Tilto g. 2, Žagarės m., Joniškio r. savivaldybė",
Jurbarko rajono savivaldybė Eržvilko seniūnija,,(8 447) 43 144,"Ryto aikštė 1, LT- 74285 Eržvilkas, Jurbarko r.",
Jurbarko rajono savivaldybė Girdžių seniūnija,,(8 447) 49 923,"Mokyklos g. 1, Girdžiai, Jurbarko r.",
Jurbarko rajono savivaldybė Juodaičių seniūnija,,(8 447) 44 142,"LT-74379, Juodaičių k. Jurbarko r.",
Jurbarko rajono savivaldybė Jurbarko miesto seniūnija,,(8 447) 55 700,Kauno g. 25 LT-74122 Jurbarkas,
Jurbarko rajono savivaldybė Jurbarkų seniūnija,,(8 447) 71 362,"Mokytojų g. 3 Jurbarkai, LT-74205 Jurbarko r.",
Jurbarko rajono savivaldybė Raudonės seniūnija,,(8 447) 45323,"Kaštonų g. 2, LT-74454 Raudonė Jurbarko raj.",
Jurbarko rajono savivaldybė Seredžiaus seniūnija,,(8 447) 42 339,"Neringos g. 6 Seredžius, Jurbarko r.",
Jurbarko rajono savivaldybė Skirsnemunės seniūnija,,(8 447) 47 131,"Nemuno g.33, Skirsnemunės k., 74486 Jurbarko r. sav.",
Jurbarko rajono savivaldybė Smalininkų seniūnija,,(8 447) 56 268,"Nemuno g. 54, Smalininkai, Jurbarko r.",
Jurbarko rajono savivaldybė Veliuonos seniūnija,,8 447 42 623,"A. Juškos g. 1, Veliuona, Jurbarko rajonas",
Jurbarko rajono savivaldybė Viešvilės seniūnija,,(8 447) 49328,"Viešvilė, Jurbarko r.",
Jurbarko rajono savivaldybė Šimkaičių seniūnija,,(8 447) 41 317,"Liepų g. 2, Šimkaičių mstl., LT-74337 Jurbarko r.",
Kaišiadorių rajono savivaldybė Kaišiadorių apylinkės seniūnija,,(8-346) 51 930,Gedimino g. 69 LT-56145 Kaišiadorys,
Kaišiadorių rajono savivaldybė Kaišiadorių miesto seniūnija,,(8-346) 60 112,"Gedimino g.55, LT-56126 Kaišiadorys",
Kaišiadorių rajono savivaldybė Kruonio seniūnija,,(8 346) 57 131,"Vilniaus g. 13, Kruonio mstl. LT-56318 Kaišiadorių r.",
Kaišiadorių rajono savivaldybė Nemaitonių seniūnija,,(8-346) 50257,Varkalių k. LT-56276 Kaišiadorių r.,
Kaišiadorių rajono savivaldybė Palomenės seniūnija,,(8 346) 20 422,Palomenės k. LT-56383 Kaišiadorių r.,
Kaišiadorių rajono savivaldybė Paparčių seniūnija,,(8-346) 20218,Paparčių k. LT-56438 Kaišiadorių r.,
Kaišiadorių rajono savivaldybė Pravieniškių seniūnija,,(8-346) 20 491,"Pravieniškių II k., LT-56371 Kaišiadorių r.",
Kaišiadorių rajono savivaldybė Rumšiškių seniūnija,,(8-346) 47561,"J. Aisčio g. 1, Rumšiškių mstl. LT-56335 Kaišiadorių r.",
Kaišiadorių rajono savivaldybė Žaslių seniūnija,,(8-346) 44342,"Vilniaus g. 3, Žaslių mstl. LT-56411 Kaišiadorių r.",
Kaišiadorių rajono savivaldybė Žiežmarių apylinkės seniūnija,,(8-346) 58237,"Žaslių g. 62, Žiežmariai LT-56235 Kaišiadorių r.",
Kaišiadorių rajono savivaldybė Žiežmarių seniūnija,,(8-346) 58348,"Žaslių g. 62, Žiežmariai LT-56235 Kaišiadorių r.",
Kalvarijos savivaldybė Akmenynų seniūnija,,(8 343) 99 354,"Akmenynų kaimas, LT-69300 Kalvarijos savivaldybė, Marijampolės apskritis",
Kalvarijos savivaldybė Kalvarijos seniūnija,,(8 343) 21 344,"Laisvės g. 2, LT-69214 Kalvarija, Marijampolės apskritis",
Kalvarijos savivaldybė Liubavo seniūnija,,(8 343) 42 746,"Liubavo kaimas, LT-69293 Kalvarijos savivaldybė, Marijampolės apskritis",
Kalvarijos savivaldybė Sangrūdos seniūnija,,(8 343)64 242,"Sangrūdos kaimas, LT-69265 Kalvarijos savivaldybė, Marijampolės apskritis",
Kauno miesto savivaldybė Aleksoto seniūnija,aleksotas@kaunas.lt,(8-37) 297084,Veiverių g. 132,
Kauno miesto savivaldybė Centro seniūnija,centras@kaunas.lt,(8-37) 22 00 00,"Šv. Gertrūdos g. 7, LT-44290 Kaunas",
Kauno miesto savivaldybė Dainavos seniūnija,dainava@kaunas.lt.,8 (37) 41 28 00,V. Krėvės pr. 41 A Kaunas,
Kauno miesto savivaldybė Eigulių seniūnija,eiguliai@kaunas.lt,(8 37) 38 69 60,"P. Plechavičiaus g. 9A,LT-49304 Kaunas",
Kauno miesto savivaldybė Gričiupio seniūnija,griciupis@kaunas.lt,(8 37) 45 13 33,"Chemijos g. 11, 51347 Kaunas",
Kauno miesto savivaldybė Panemunės seniūnija,vilijampole@kaunas.lt,(8 37) 74 40 88,"Perlojos g. 29, 45305 Kaunas",
Kauno miesto savivaldybė Petrašiūnų seniūnija,petrasiunai@kaunas.lt,(8 37) 37 06 68,"R. Kalantos g. 57, 52305 Kaunas",
Kauno miesto savivaldybė Vilijampolės seniūnija,vilijampole@kaunas.lt,(8 37) 26 06 30,"Lampėdžių g. 10, 48327 Kaunas",
Kauno miesto savivaldybė Šančių seniūnija,sanciai@kaunas.lt,"(8-37) 34 22 49, (8-37) 34 20 72","A. Juozapavičiaus pr. 84, Kaunas, LT-45212",
Kauno miesto savivaldybė Šilainių seniūnija,silainiai@kaunas.lt,(837) 377814,"Baltų pr. 53, LT-48232 Kaunas",
Kauno miesto savivaldybė Žaliakalnio seniūnija,zaliakalnis@kaunas.lt,(8-37) 33 19 62,"Partizanų g. 5, LT-50207, Kaunas",
Kauno rajono savivaldybė Akademijos seniūnija,seniunija@akademija.krs.lt,(8 37) 39 73 07,"Universiteto g. 8, Akademijos mstl., Kauno rajonas",
Kauno rajono savivaldybė Alšėnų seniūnija,seniunija@alsenai.krs.lt,(8 37) 561292,"Mokslo g. 2, Mastaičiai, Kauno rajonas",
Kauno rajono savivaldybė Babtų seniūnija,seniunija@babtai.krs.lt,(8 37) 555 216,"Babtų seniūnija, Nevėžio g. 3, Babtai, Kauno r. LT-54331",
Kauno rajono savivaldybė Batniavos seniūnija,seniūnija@batniava.krs.ltSeniūnas,(8-37) 567 827,"Parko g. 10, Bubių k., Batniavos sen., Kauno r.",
Kauno rajono savivaldybė Domeikavos seniūnija,seniunija@domeikava.krs.lt,(8 37) 477 224,"Saulės g. 1, Domeikavos k., Kauno rajonas",
Kauno rajono savivaldybė Ežerėlio seniūnija,seniunija@ezerelis.krs.lt,(8 37) 534 423,"S. Nėries g. 3, Ežerėlis, Kauno rajonas",
Kauno rajono savivaldybė Garliavos apylinkių seniūnija,seniunija@garliavosap.krs.lt,(8 37) 393625,"Vytauto g. 62, Garliava, Kauno rajonas",
Kauno rajono savivaldybė Garliavos seniūnija,seniunija@garliava.krs.lt,(8 37) 39 39 98,"Vytauto g. 62, Garliava, Kauno rajonas",
Kauno rajono savivaldybė Karmėlavos seniūnija,seniunija@karmelava.krs.lt,(8 37) 399 255,"Vilniaus g. 65a, Karmėlava, Kauno rajonas",
Kauno rajono savivaldybė Kačerginės seniūnija,seniunija@kacergine.krs.lt,(8 37) 569 391,"J. Janonio g. 40, Kačerginė, Kauno rajonas",
Kauno rajono savivaldybė Kulautuvos seniūnija,seniunija@kulautuva.krs.lt,(8 37) 543 223,"Poilsio g. 5, Kulautuva, Kauno r.",
Kauno rajono savivaldybė Lapių seniūnija,seniunija@lapes.krs.lt,(8 37) 470 454,"A. Merkio g. 63, Lapės, Kauno rajonas",
Kauno rajono savivaldybė Linksmakalnio seniūnija,seniunija@linksmakalnis.krs.lt,(8 37) 566 338,"Liepų g. 7, Linksmakalnio km., Linksmakalnio sen., Kauno raj.",
Kauno rajono savivaldybė Neveronių seniūnija,seniunija@neveronys.krs.lt,(8 37) 375 870,"Kertupio g. 18, Neveronių k., Kauno rajonas",
Kauno rajono savivaldybė Raudondvario seniūnija,seniunija@raudondvaris.krs.lt,(8 37) 54 95 49,"Instituto g. 1a, Raudondvaris, Kauno rajonas",
Kauno rajono savivaldybė Ringaudų seniūnija,seniunija@ringaudai.krs.lt,(8 37) 397 358,"Šiltnamių g.1, Noreikiškių k., Lt-53363 Kauno r. sav.",
Kauno rajono savivaldybė Rokų seniūnija,seniunija@rokai.krs.lt,(8 37) 436 013,"Nemuno g. 14, Rokai, Kauno rajonas",
Kauno rajono savivaldybė Samylų seniūnija,seniunija@samylai.krs.lt,(8 37) 430216,"J. Biliūno g. 20, Samylų k., Kauno rajonas",
Kauno rajono savivaldybė Taurakiemio seniūnija,seniunija@taurakiemis.krs.lt,(8 37) 568823,"T. Masiulio g.6, Piliuonos k., Taurakiemio sen., Kauno raj.",
Kauno rajono savivaldybė Užliedžių seniūnija,seniūnija@uzliedziai.krs.lt,(8 37) 337 93,"Ledos g. 2, Užliedžių k., Kauno r.",
Kauno rajono savivaldybė Vandžiogalos seniūnija,seniunija@vandziogala.krs.lt,(8 37) 524 223,"Parko g. 8, Vandžiogala, Kauno rajonas",
Kauno rajono savivaldybė Vilkijos apylinkių seniūnija,seniunija@vilkijosap.krs.lt,(8 37) 556 254,"Kauno g. 37, Vilkija, Kauno rajonas",
Kauno rajono savivaldybė Vilkijos seniūnija,seniunija@vilkija.krs.lt,(8 37) 556332,"Kauno g. 37, Vilkija, Kauno rajonas",
Kauno rajono savivaldybė Zapyškio seniūnija,seniunija@zapyskis.krs.lt,(8 37) 542 217,"Šviesos g. 18, Kluoniškių k., Kauno rajonas",
Kauno rajono savivaldybė Čekiškės seniūnija,seniunija@cekiske.krs.lt,(8 37) 560 217,"Amatininkų g. 3, Čekiškė, Kauno rajonas",
Kazlų Rūdos savivaldybė Antanavo seniūnija,,(8 343) 90 413,"Sūduvos g. 1, LT-69367 Antanavo kaimas",
Kazlų Rūdos savivaldybė Jankų seniūnija,,(8 345) 41 628,"Jankų kaimas, LT-71253 Kazlų Rūdos savivaldybė",
Kazlų Rūdos savivaldybė Kazlų Rūdos seniūnija,,(8 343) 95 092,"M.Valančiaus g. 12, LT- 69405 Kazlų Rūda",
Kazlų Rūdos savivaldybė Plutiškių seniūnija,,(8 343) 99 203,"Mokyklos g. 5, LT-69466 Plutiškių kaimas, Kazlų Rūdos savivaldybė",
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,,(8 427) 51253,"Naudvario k., Kelmės r.",
Kelmės rajono savivaldybė Kelmės seniūnija,,(8 427) 69076,"Žemaitės g. 23, Kelmė",
Kelmės rajono savivaldybė Kražių seniūnija,,(8 427) 60012,"M. Valančiaus g.59, Kražių mstl., Kelmės r.",
Kelmės rajono savivaldybė Kukečių seniūnija,,(8 427) 42416,"Kukečių k., Kelmės r.",
Kelmės rajono savivaldybė Liolių seniūnija,,(8 427) 44125,"Nepriklausomybės g. 47, Liolių mstl., Kelmės r.",
Kelmės rajono savivaldybė Pakražančio seniūnija,,(8 427) 44535,"Centro g. 1, Grinių k., Kelmės r.",
Kelmės rajono savivaldybė Tytuvėnų apylinkių seniūnija,,(8 427) 56251,"J. Basanavičiaus g. 2,Tytuvėnai",
Kelmės rajono savivaldybė Tytuvėnų seniūnija,,(8 427) 59006,"Basanavičiaus g. 2, Tytuvėnai",
Kelmės rajono savivaldybė Užvenčio seniūnija,,,,
Kelmės rajono savivaldybė Vaiguvos seniūnija,,(8 427) 48137,"Vaiguvos k., Kelmės r.",
Kelmės rajono savivaldybė Šaukėnų seniūnija,,(8 427) 55403,"Juodlės g. 1, Šaukėnų mstl., Kelmės r.",
Klaipėdos miesto savivaldybė Melnragės ir Girulių seniūnija,,(8 46) 410532,"Molo g. 60, Klaipėdos m., Klaipėdos m. sav., LT-92278",
Klaipėdos rajono savivaldybė Agluonėnų seniūnija,,44 23 34,"Priekulės g. 4, LT-96252 Agluonėnai",
Klaipėdos rajono savivaldybė Dauparų-Kvietinių seniūnija,,46 62 93,"Žemaitės g. 10, LT-96121 Gargždai",
Klaipėdos rajono savivaldybė Dovilų seniūnija,,44 41 91,"Minijos g. 2, LT-96222 Dovilai",
Klaipėdos rajono savivaldybė Endriejavo seniūnija,,44 51 77,"Mokyklos g. 3, LT-96301 Endriejavas",
Klaipėdos rajono savivaldybė Gargždų seniūnija,,46 62 22,"Žemaitės g. 10, LT-96121 Gargždai",
Klaipėdos rajono savivaldybė Judrėnų seniūnija,,44 29 85,"Mokyklos g. 4, LT-96292 Judrėnai",
Klaipėdos rajono savivaldybė Kretingalės seniūnija,,44 64 31,"Klaipėdos g. 12, LT-96332 Kretingalė",
Klaipėdos rajono savivaldybė Priekulės seniūnija,,45 42 80,"Klaipėdos g. 14, LT-96341 Priekulė",
Klaipėdos rajono savivaldybė Sendvario seniūnija,,48 90 28,LT-92337 Slengiai,
Klaipėdos rajono savivaldybė Veiviržėnų seniūnija,,45 92 44,"Laisvės g. 4, LT-96275 Veiviržėnai",
Klaipėdos rajono savivaldybė Vėžaičių seniūnija,,45 82 01,"Gargždų g. 25, LT-96216 Vėžaičiai",
Kretingos rajono savivaldybė Darbėnų seniūnija,,56333,"Skuodo g. 4, Darbėnai, LT-97266 Kretingos r.",
Kretingos rajono savivaldybė Imbarės seniūnija,,70075,"M.Valančiaus g. 5, Salantai, LT-97313 Kretingos r.",
Kretingos rajono savivaldybė Kartenos seniūnija,,47210,"Mokyklos g. 3, Kartena, LT-97340 Kretingos r.",
Kretingos rajono savivaldybė Kretingos miesto seniūnija,,79024,"Vilniaus g. 8, LT-97108 Kretinga",
Kretingos rajono savivaldybė Kretingos seniūnija,,51041,"Rotušės a. 1, LT-97140 Kretinga",
Kretingos rajono savivaldybė Kūlupėnų seniūnija,,48610,"Mokyklos g. 5, Kūlupėnų k., LT-97331 Kretingos r.",
Kretingos rajono savivaldybė Salantų miesto seniūnija,,70155,"M.Valančiaus g. 5, Salantai, LT-97313 Kretingos r.",
Kretingos rajono savivaldybė Žalgirio seniūnija,,49383,"Raguviškių k., Kretingos r.",
Kupiškio rajono savivaldybė Alizavos seniūnija,,(8 459) 41 112,"Berželių g. 1, Alizavos mstl., Kupiškio r.",
Kupiškio rajono savivaldybė Kupiškio seniūnija,,(8 459) 35526,"Vytauto g. 2, LT-40115 Kupiškis",
Kupiškio rajono savivaldybė Noriūnų seniūnija,,(8 459) 56 211,"Sodų g. 1, Noriūnų k., Kupiškio r.",
Kupiškio rajono savivaldybė Skapiškio seniūnija,,(8 459) 42113,"Varpo a. 3, Skapiškio mstl., Kupiškio r.",
Kupiškio rajono savivaldybė Subačiaus seniūnija,,(8 459) 35596,"Aukštaičių a. 13, Subačius, Kupiškio r.",
Kupiškio rajono savivaldybė Šimonių seniūnija,,(8 459) 44 131,"Skapiškio g. 6, Šimonių mstl., Kupiškio r.",
Kėdainių rajono savivaldybė Dotnuvos seniūnija,,(8 347) 39300,"Vilties g. 19, Dotnuva, LT-58386, Kėdainių r.",
Kėdainių rajono savivaldybė Gudžiūnų seniūnija,,(8 347) 45 433,"Dotnuvėlės g. 1, Gudžiūnai, Kėdainių r.",
Kėdainių rajono savivaldybė Josvainių seniūnija,,(8-347)73223,"Kėdainių g. 9, 58185, Josvainiai, Kėdainių r.",
Kėdainių rajono savivaldybė Krakių seniūnija,,(8 347) 38124,"Vilniaus g.18, Krakės, Kėdainių r.",
Kėdainių rajono savivaldybė Kėdainių miesto seniūnija,,8 347 67287,"S. Jaugelio-Telegos g. 2, Kėdainiai, Kėdainių r.",
Kėdainių rajono savivaldybė Pelėdnagių seniūnija,,(8 347) 67 601,"V. Koncevičiaus g. 3, Pelėdnagių k., Pelėdnagių sen., 58160 Kėdainių r. sav.",
Kėdainių rajono savivaldybė Pernaravos seniūnija,,(8 347) 42 148,"Pernaravos mstl., Pernaravos sen., LT-58026 Kėdainių r.",
Kėdainių rajono savivaldybė Surviliškio seniūnija,,(8 347) 41 133,"Kėdainių g. 29, Surviliškio mstl., Kėdainių r. sav.",
Kėdainių rajono savivaldybė Truskavos seniūnija,,(347) 41369,"LT-58466, Liepų g. 2, Pavermenio K., Truskavos sen., Kėdainių r.",
Kėdainių rajono savivaldybė Vilainių seniūnija,,(8 347) 6831,"Parko g. 6, Vilainių k., Vilainių sen. LT- 58102 Kėdainių r.",
Kėdainių rajono savivaldybė Šėtos seniūnija,,(8 347) 35 265,"Kėdainių g. 6, Šėta, Kėdainių r.",
Lazdijų rajono savivaldybė Būdviečio seniūnija,,,"Aštrioji Kirsna, Būdviečio sen., 67055 Lazdijų r. sav.",
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,,,"Vytauto g. 2, Kapčiamiestis, 67039 Lazdijų r.sav.",
Lazdijų rajono savivaldybė Krosnos seniūnija,,,"Alytaus g. 28, Krosna 67443 Lazdijų r. sav.",
Lazdijų rajono savivaldybė Kučiūnų seniūnija,,,"Kučiūnai, 67371 Lazdijai",
Lazdijų rajono savivaldybė Lazdijų miesto seniūnija,,8 318 66103,"Vilniaus g.1,67106 Lazdijai",
Lazdijų rajono savivaldybė Lazdijų seniūnija,,(8 318) 6 61 05,"Vilniaus g.1, 1a. 122-123 kab. 67106 Lazdijai",
