"Seniūnijos pav.","Gatvės pavadinimas","Pastatų numeriai","Komentarai"
"Karoliniškių","Sausio 13-osios g. ","4, 5, 7, 11-15, 21, 27, 33, 37",
"Karoliniškių","Sietyno g.","1, 2, 3, 13, 23",
"Karoliniškių","Mėnulio g.","3, 6-22",
"Karoliniškių","Laisvės pr.  ","37, 39, 40, 42, 43, 44",
"Lazdynų","Architektų g.",,
"Lazdynų","A. Baranausko g.",,
"Lazdynų","A. Staškevičiūtės g.",,
"Lazdynų","Bijūnų g.",,
"Lazdynų","Bukčių g.",,
"Lazdynų","Erfurto g.",,
"Lazdynų","E. Čiudakovos g.",,
"Lazdynų","J.K. Vilčinsko g. ",,
"Lazdynų","Gudelių g. ",,
"Lazdynų","J. Vitkaus-Kazimieraičio g.",,
"Lazdynų","Jono Juodišiaus g.",,
"Lazdynų","Jonažolių g.",,
"Lazdynų","Laisvės pr.","3,8",
"Lazdynų","K. Petrausko g. ",,
"Lazdynų","Lazdynėlių g. ",,
"Lazdynų","Lazdynų g. ",,
"Lazdynų","Lietaus g.",,
"Lazdynų","Lūkesčių g. ",,
"Lazdynų","M. Kubiliūtės g. ",,
"Lazdynų","Miškinių g.",,
"Lazdynų","M. Mironaitės g.",,
"Lazdynų","Neužmirštuolių g.",,
"Lazdynų","Oslo g. ",,
"Lazdynų","Parodų g. ",,
"Lazdynų","Pakalnučių g.",,
"Lazdynų","Palaimos g. ",,
"Lazdynų","Pažagiškių g. ",,
"Lazdynų","Ratilių g.",,
"Lazdynų","Rūko g.",,
"Lazdynų","R. Juknevičiaus g.",,
"Lazdynų","Sutemų g.",,
"Lazdynų","Šalnos g.",,
"Lazdynų","Šaltūnų g.",,
"Lazdynų","Šarmos g.",,
"Lazdynų","Šerkšno g.",,
"Lazdynų","Šiltnamių g.",,
"Lazdynų","E. Šimkūnaitės",,
"Lazdynų","Užutėkio g.",,
"Lazdynų","Upėtakio g.",,
"Lazdynų","Ungurių g. ",,
"Lazdynų","V. Krėvės g.",,
"Lazdynų","Vakaro g.",,
"Lazdynų","Vėgėlių g.",,
"Lazdynų","Žaros g.",,
"Lazdynų","Žėručio g.",,
"Naujamiesčio","Aguonų g.","1-9999",
"Naujamiesčio","Akmenų g. ",,
"Naujamiesčio","Algirdo g. ",,
"Naujamiesčio","Amatų g.",,
"Naujamiesčio","Ankštoji g. ",,
"Naujamiesčio","Aukų g. ",,
"Naujamiesčio","Aludarių g.",,
"Naujamiesčio","J. Basanavičiaus g. ","15-53, 16-44",
"Naujamiesčio","Beržyno g. ",,
"Naujamiesčio","Birželio 23-osios g.",,
"Naujamiesčio","Beatričės g. ",,
"Naujamiesčio","M.K.Čiurlionio g. ",,
"Naujamiesčio"," Dainavos g. ",,
"Naujamiesčio","A.Domaševičiaus g.",,
"Naujamiesčio","K.Donelaičio g. ",,
"Naujamiesčio","Geležinkelio g. ","9-9999, 2-10000",
"Naujamiesčio","Geležinio Vilko g.","10,12,16, 29, 29A,14",
"Naujamiesčio","Gedimino pr. ","13-53, 20-64",
"Naujamiesčio","Opštauto g. ",,
"Naujamiesčio","J. Jablonskio g. ",,
"Naujamiesčio","A.Jakšto g.",,
"Naujamiesčio"," J.Jasinskio g.",,
"Naujamiesčio","Jogailos g.","1-9999",
"Naujamiesčio","Jovaro g. ",,
"Naujamiesčio","K.Kalinausko g.","1-9999, 12-26",
"Naujamiesčio","Kauno g. ","5-43, 14-36",
"Naujamiesčio","Kedrų g. ",,
"Naujamiesčio","P.Klimo g. ",,
"Naujamiesčio","Kražių g. ",,
"Naujamiesčio","S.Konarskio g. ","1-49, 2-22, 22B",
"Naujamiesčio","V.Kudirkos g. ",,
"Naujamiesčio"," Lelevelio g. ",,
"Naujamiesčio"," Lentpjūvių g. ir skg.",,
"Naujamiesčio","Lukiškių g. ",,
"Naujamiesčio","Marijampolės g. ",,
"Naujamiesčio","Mindaugo g. ","1-9999, 20-34,42",
"Naujamiesčio"," Mečetės g. ",,
"Naujamiesčio","Muitinės g. ",,
"Naujamiesčio","Naugarduko g.  ","11-55, 12-94",
"Naujamiesčio","Nočios g.",,
"Naujamiesčio","Pamėnkalnio g. ",,
"Naujamiesčio","Panerių g.",,
"Naujamiesčio","Pakalnės g.",,
"Naujamiesčio","V.Mykolaičio-Putino g. ",,
"Naujamiesčio","V.Pietario g.","1-9999",
"Naujamiesčio","Raseinių g. ",,
"Naujamiesčio","Rotundo g. ",,
"Naujamiesčio","Rožių al.",,
"Naujamiesčio","Savanorių pr.","1-17, 2-28",
"Naujamiesčio","Šaltinių g.","1-11, 2-16",
"Naujamiesčio","Šermukšnių g. ",,
"Naujamiesčio","T.Ševčenkos g. ",,
"Naujamiesčio"," Z.Sierakausko g.",,
"Naujamiesčio","P.Skorinos",,
"Naujamiesčio","Smolensko g.",,
"Naujamiesčio","Suvalkų g. ",,
"Naujamiesčio","Statybininkų g. ",,
"Naujamiesčio","A.Smetonos g. ",,
"Naujamiesčio","A.Stulginskio g. ",,
"Naujamiesčio","J.Savickio g. ",,
"Naujamiesčio","Šviesos g.",,
"Naujamiesčio","Šv.Stepono g.","33-41",
"Naujamiesčio","Švitrigailos g. ",,
"Naujamiesčio","J.Tumo-Vaižganto g. ",,
"Naujamiesčio","Tauro g.",,
"Naujamiesčio","Vilniaus g.","9-11.",
"Naujamiesčio","A. Vienuolio g.",,
"Naujamiesčio","Vasario 16-osios g. ",,
"Naujamiesčio","M.Valančiaus g.",,
"Naujamiesčio","A.Vivulskio g. ",,
"Naujamiesčio","Vytenio g.",,
"Naujamiesčio","Žemaitės g.","2-10000",
"Naujininkų","Adutiškio g. ",,
"Naujininkų","Alšėnų g. ",,
"Naujininkų","Alytaus g. ",,
"Naujininkų","Gudų g.  ",,
"Naujininkų","J. Bielinio g. ",,
"Naujininkų","Burbiškių g. ",,
"Naujininkų","Butrimonių g. ",,
"Naujininkų","Brolių g. ",,
"Naujininkų","Dariaus ir Girėno g. ",,
"Naujininkų","Dzūkų g. ",,
"Naujininkų","Darbininkų g. ",,
"Naujininkų","Eišiškių pl. ",,
"Naujininkų","Garvežių g. ",,
"Naujininkų","Geologų g. ",,
"Naujininkų","A.Jaroševičiaus g. ",,
"Naujininkų","Jotvingių g. ",,
"Naujininkų","Kaminkelio g. ",,
"Naujininkų","Kapsų g. ",,
"Naujininkų","Kelmijos g. ",,
"Naujininkų","Konduktorių g. ",,
"Naujininkų","Kuršių g. ",,
"Naujininkų","Lenkų g. ",,
"Naujininkų","Liepkalnio g.  ","27-9999",
"Naujininkų","Merkinės g. ",,
"Naujininkų","Melioratorių g. ",,
"Naujininkų","Mechanikų g. ",,
"Naujininkų","Metalo g.",,
"Naujininkų","Meistrų g.",,
"Naujininkų","Motorų g.",,
"Naujininkų","Naujininkų g.","1/13, 2-18, 3 ,7, 13-17, 21, 23, 23/2 ",
"Naujininkų","Pelesos g.  ","11, 27A, 37/2, 55/1 ",
"Naujininkų","Panevėžio g.  ",,
"Naujininkų","Perlojos g. ",,
"Naujininkų","Pumpurų g.",,
"Naujininkų","Prūsų g. ",,
"Naujininkų","Rodūnios kelias ",,
"Naujininkų","Raistelių g.",,
"Naujininkų","Riešutų g. ",,
"Naujininkų","Rudaminos g. ",,
"Naujininkų","Salininkų g. ",,
"Naujininkų","Sniego g. ",,
"Naujininkų","Sparno g.",,
"Naujininkų","Šaltkalvių g. ",,
"Naujininkų","Tarpkalnio g. ",,
"Naujininkų","Telšių g. ",,
"Naujininkų","Tyzenhauzų g. ","1-19A, 27-9999, 22-10000, 7, 9, 15/2, 19A, 27, 33, 42, 48",
"Naujininkų","Tunelio g. ",,
"Naujininkų","Užusienio g.",,
"Naujininkų","Varėnos g. ",,
"Naujininkų","Vaivorykštės g. ",,
"Naujininkų","Vyšnių g. ",,
"Naujininkų","Žirnių g.",,
"Naujininkų","A.Gustaičio g. ",,
"Naujininkų","J.Dabkevičiaus g. ",,
"Naujininkų","F.Vaitkaus g. ",,
"Naujininkų","Zanavykų g.",,
"Naujininkų","Iešmininkų g.",,
"Naujininkų","Dieveniškių g. ",,
"Naujininkų","Dubičių g.",,
"Naujininkų","Geranainių g. ",,
"Naujininkų","Šalčininkų g. ",,
"Naujininkų","Asavos g. ",,
"Naujininkų","Karaliaus šulnio g. ",,
"Naujininkų","Šalčios g. ",,
"Naujininkų","Versekos g.",,
"Naujininkų","Visinčios g. ",,
"Naujininkų","Žižmos g. ",,
"Naujininkų","Apso g. ",,
"Naujininkų","Katros g. ",,
"Naujininkų","Trobų g. ",,
"Naujininkų","Dusinėnų g. ",,
"Naujininkų","Vaikų g.  ",,
"Naujininkų","Pupinės g.                   ",,
"Naujininkų","Prančiškaus Žvirkos g. ",,
"Naujininkų","Gervėbalės g.              ",,
"Naujininkų","Skaiteros g.                 ",,
"Naujininkų","Sakalaičių g.                ",,
"Naujininkų","Molinės g                     ",,
"Naujininkų","Valakų g.                      ",,
"Naujininkų","Ringės g.",,
"Naujininkų","Gamyklos g.",,
"Naujininkų","Avinėlių g.",,
"Naujininkų","Povų g.",,
"Naujininkų","Griežlių g.",,
"Naujininkų","Katiliškių g.    ","      ",
"Naujininkų","Čigonų g. ",,"Aukštutinis taboras"
"Naujininkų","Tabariškių g. ",,
"Naujininkų","Eišiškių Sodų 1-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 2-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 3-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 4-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 5-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 6-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 7-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 8-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 9-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 10-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 11-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 12-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 13-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 14-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 15-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 16-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 17oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Eišiškių Sodų 18-oji g. ",,"s/b „Pramonės darbuotojų“"
"Naujininkų","Salininkų Sodų 1-oji g. ",,"s/b „Baldai“"
"Naujininkų","Salininkų Sodų 2-oji g. ",,"s/b „Baldai“"
"Naujininkų","Salininkų Sodų 3-oji g. ",,"s/b „Baldai“"
"Naujininkų","Salininkų Sodų 4-oji g. ",,"s/b „Kirtimai“ – „Mechanizatorius“"
"Naujininkų","Salininkų Sodų 5-oji g.  ",,"s/b „Kirtimai“ – „Mechanizatorius“"
"Naujininkų","Salininkų Sodų 6-oji g. ",,"s/b „Kirtimai“ – „Mechanizatorius“"
"Naujininkų","Salininkų Sodų 7-oji g. ",,"s/b „Kirtimai“ – „Mechanizatorius“"
"Naujininkų","Salininkų Sodų 8-oji g. ",,"s/b „Vilnis“"
"Naujininkų","Salininkų Sodų 9-oji g. ",,"s/b „Vilnis“"
"Naujininkų","Salininkų Sodų 10-oji g. ",,"s/b „Vilnis“"
"Naujininkų","Salininkų Sodų 11-oji g. ",,"s/b „Vilnis“"
"Naujininkų","Salininkų Sodų 12-oji g. ",,"s/b „Kooperatininkas“"
"Naujininkų","Salininkų Sodų 13-oji g. ",,"s/b „Kooperatininkas“"
"Naujininkų","Salininkų Sodų 14-oji g. ",,"s/b „Žagrė“"
"Naujininkų","Salininkų Sodų 15-oji g. ",,"s/b „Žagrė“"
"Naujininkų","Salininkų Sodų 16-oji g. ",,"s/b „Žagrė“"
"Naujininkų","Salininkų Sodų 17-oji g. ",,"s/b „Žagrė“"
"Naujininkų","Rodūnios Sodų 1-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 2-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 3-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 4-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 5-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 6-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 7-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 8-oji g. ",,"s/b „Aviatorius“"
"Naujininkų","Rodūnios Sodų 9-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 10-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 11-oji g. ",,"s/b „Giedra“"
"Naujininkų","Rodūnios Sodų 12-oji g. ",,"s/b „Giedra“"
"Naujininkų","Rodūnios Sodų 13-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 14-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 15-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 16-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 17-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 18-oji g. ",,"s/b „Poilsis“"
"Naujininkų","Rodūnios Sodų 19 oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 19-24 oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 20-oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 21-oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 22-oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 23-oji g. ",,"s/b „Erškėtrožė“"
"Naujininkų","Rodūnios Sodų 24-oji g. ",,"s/b „Žaliasis kelias“"
"Naujininkų","Žaliojo kelio 1-oji g. ",,"s/b „Žaliasis kelias“"
"Naujininkų","Žaliojo kelio 2-oji g. ",,"s/b „MSV-1“ – „Laumėšakis“"
"Naujininkų","Sakalaičių Sodų 1-oji g.",,"s/b „MSV-1“ – „Laumėšakis“"
"Naujininkų","Sakalaičių Sodų 2-oji g.",,"s/b „MSV-1“ – „Laumėšakis“"
"Naujininkų","Sakalaičių Sodų 3-oji g.",,"s/b „MSV-1“ – „Laumėšakis“"
"Naujininkų","Sakalaičių Sodų 4-oji g.",,"s/b „MSV-1“ – „Laumėšakis“"
"Naujininkų","Sakalaičių Sodų 5-oji g.",,"s/b „Lokomotyvas“"
"Naujininkų","Sakalaičių Sodų 6-oji g. ",,"s/b „Lokomotyvas“"
"Naujininkų","Sakalaičių Sodų 7-oji g. ",,"s/b „Ekspresas“"
"Naujininkų","Sakalaičių Sodų 8-oji g. ",,"s/b „Ekspresas“"
"Naujininkų","Sakalaičių Sodų 9-oji g. ",,"s/b „Ekspresas“"
"Naujininkų","Sakalaičių Sodų 10-oji g. ",,"s/b „Ekspresas“"
"Naujininkų","Sakalaičių Sodų 11-oji g. ",,
"Naujininkų","Barūnų g.             ",,
"Naujininkų","Jašiūnų g.",,
"Naujininkų","Kalvelių g.",,
"Naujininkų","Krakūnų g.",,
"Naujininkų","Mančiagirės g.",,
"Naujininkų","Marcinkonių g.",,
"Naujininkų","Norviliškių g.",,
"Naujininkų","Nemajūnų g.",,
"Naujininkų","Pabarės g.",,
"Naujininkų","Palionių g.",,
"Naujininkų","Perlamo g.",,
"Naujininkų","Pivašiūnų g.",,
"Naujininkų","Rimdžiūnų g.",,
"Naujininkų","Skurbutėnų g.",,
"Naujininkų","Spenglos g.",,
"Naujininkų","Šumsko g.",,
"Naujininkų","Zervynų g.",,
"Naujininkų","Žadiškių g.",,
"Naujininkų","Žiūrų g.",,
"Naujininkų","Kelmijos Sodų 1-oji g.",,
"Naujininkų","Kelmijos Sodų 2-oji g.",,
"Naujininkų","Kelmijos Sodų 3-oji g.",,
"Naujininkų","Kelmijos Sodų 4-oji g.",,
"Naujininkų","Kelmijos Sodų 5-oji g.",,
"Naujininkų","Kelmijos Sodų 6-oji g.",,
"Naujininkų","Kelmijos Sodų 7-oji g.",,
"Naujininkų","Kelmijos Sodų 8-oji g.",,
"Naujininkų","Kelmijos Sodų 9-oji g.",,
"Naujininkų","Kelmijos Sodų 10-oji g.",,
"Naujininkų","Kelmijos Sodų 11-oji g.",,
"Naujininkų","Kelmijos Sodų 12-oji g.",,
"Naujininkų","Kelmijos Sodų 13-oji g.",,
"Naujininkų","Kelmijos Sodų 14-oji g.",,
"Naujininkų","Kelmijos Sodų 15-oji g.",,
"Naujininkų","Kelmijos Sodų 16-oji g.",,
"Naujininkų","Kelmijos Sodų 17-oji g.",,
"Naujininkų","Kelmijos Sodų 18-oji g.",,
"Naujininkų","Kelmijos Sodų 19-oji g.",,
"Naujininkų","Kelmijos Sodų 20-oji g.",,
"Naujininkų","Kelmijos Sodų 21-oji g.",,
"Naujininkų","Kelmijos Sodų 22-oji g.",,
"Naujininkų","Kelmijos Sodų 23-oji g.",,
"Naujininkų","Kelmijos Sodų 24-oji g.",,
"Naujininkų","Kelmijos Sodų 25-oji g.",,
"Naujininkų","Kelmijos Sodų 26-oji g.",,
"Naujininkų","Kelmijos Sodų 27-oji g.",,
"Naujininkų","Kelmijos Sodų 28-oji g.",,
"Naujininkų","Kelmijos Sodų 30-oji g.",,
"Naujininkų","Kelmijos Sodų 31-oji g.",,
"Naujininkų","Kelmijos Sodų 32-oji g.",,
"Naujininkų","Kelmijos Sodų 33-oji g.",,
"Naujininkų","Kelmijos Sodų 34-oji g.",,
"Naujininkų","Kelmijos Sodų 35-oji g.",,
"Naujininkų","Kelmijos Sodų 36-oji g.",,
"Naujininkų","Kelmijos Sodų 37-oji g.",,
"Naujininkų","Kelmijos Sodų 38-oji g.",,
"Naujininkų","Kelmijos Sodų 39-oji g.",,
"Naujininkų","Kelmijos Sodų 40-oji g.",,
"Naujininkų","Kelmijos Sodų 41-oji g.",,
"Naujininkų","Kelmijos Sodų 42-oji g.",,
"Naujininkų","Kelmijos Sodų 43-oji g.",,
"Naujininkų","Kelmijos Sodų 44-oji g.",,
"Naujininkų","Kelmijos Sodų 45-oji g.",,
"Naujininkų","Kelmijos Sodų 46-oji g.",,
"Naujininkų","Kelmijos Sodų 47-oji g.",,
"Naujininkų","Kelmijos Sodų 48-oji g.",,
"Naujininkų","Kelmijos Sodų 49-oji g.",,
"Naujininkų","Kelmijos Sodų 50-oji g.",,
"Naujininkų","Kelmijos Sodų 51-oji g.",,
"Naujininkų","Kelmijos Sodų 52-oji g.",,
"Naujininkų","Kelmijos Sodų 53-oji g.",,
"Naujininkų","Kelmijos Sodų 54-oji g.",,
"Naujininkų","Kelmijos Sodų 55-oji g.",,
"Naujininkų","Kelmijos Sodų 56-oji g.",,
"Naujininkų","Kelmijos Sodų 57-oji g.",,
"Naujininkų","Kelmijos Sodų 58-oji g.",,
"Naujininkų","Kelmijos Sodų 59-oji g.",,
"Naujininkų","Kelmijos Sodų 60-oji g.",,
"Naujininkų","Kelmijos Sodų 61-oji g.",,
"Naujininkų","Kelmijos Sodų 62-oji g.",,
"Naujininkų","Kelmijos Sodų 63-oji g.",,
"Naujininkų","Kelmijos Sodų 64-oji g.",,
"Naujininkų","Kelmijos Sodų 65-oji g.",,
"Naujininkų","Kelmijos Sodų 66-oji g.",,
"Naujininkų","Kelmijos Sodų 67-oji g.",,
"Naujininkų","Kelmijos Sodų 68-oji g.",,
"Naujininkų","Kelmijos Sodų 69-oji g.",,
"Naujininkų","Kelmijos Sodų 70-oji g.",,
"Naujininkų","Kelmijos Sodų 71-oji g.",,
"Naujininkų","Kelmijos Sodų 72-oji g.",,
"Naujininkų","Kelmijos Sodų 73-oji g.",,
"Naujininkų","Kelmijos Sodų 74-oji g.",,
"Naujininkų","Kelmijos Sodų 75-oji g.",,
"Naujininkų","Kelmijos Sodų 76-oji g.",,
"Naujininkų","Kelmijos Sodų 77-oji g.",,
"Naujininkų","Kelmijos Sodų 78-oji g.",,
"Naujininkų","Kelmijos Sodų 79-oji g.",,
"Naujininkų","Kelmijos Sodų 80-oji g.",,
"Naujininkų","Kelmijos Sodų 81-oji g.",,
"Naujininkų","Kelmijos Sodų 82-oji g.",,
"Naujininkų","Kelmijos Sodų 83-oji g.",,
"Naujininkų","Kelmijos Sodų 84-oji g.",,
"Naujininkų","Kelmijos Sodų 85-oji g.",,
"Naujininkų","Kelmijos Sodų 86-oji g.",,
"Naujininkų","Miškinių Sodų g.",,
"Naujininkų","Miškinių Sodų 1-oji g.",,
"Naujininkų","Miškinių Sodų 2-oji g.",,
"Naujininkų","Baltosios Vokės Sodų g.",,
"Naujininkų","Barčių g. ",,
"Naujininkų","Sebastijoniškių g.",,
"Naujininkų","Pilikonių g.",,
"Naujininkų","Ilgalaukio g.",,
"Naujininkų","Palionių g.",,
"Naujininkų","Aidukaičių g.",,
"Naujininkų","Bartų g.",,
"Naujininkų","Dargiliškių g. ",,
"Naujininkų","Navasiškių g.",,
"Naujininkų","Tūkstantmečio g. ",,
"Naujininkų","Javų g.",,
"Naujosios Vilnios","Airių",,
"Naujosios Vilnios","Adolfo Baliūno",,
"Naujosios Vilnios","Akacijų",,
"Naujosios Vilnios","Anglų",,
"Naujosios Vilnios","Ateities Sodų 1-oji ",,"s. b.  „Ateitis‘"
"Naujosios Vilnios","Ateities Sodų 2-oji ",,"s. b.  „Ateitis‘"
"Naujosios Vilnios","Ateities Sodų 3-oji",,"s. b.  „Ateitis‘"
"Naujosios Vilnios","Ateities Sodų 4-oji",,"s. b.  „Ateitis‘"
"Naujosios Vilnios","Arimų",,
"Naujosios Vilnios","Arimų Sodų g.",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 1-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 2-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 3-oji",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 4-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 5-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 6-oji",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 7-oji",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 8-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 9-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 10-oji ",,"s. b „Aušra“"
"Naujosios Vilnios","Arimų Sodų 11-oji",,"s. b „Aušra“"
"Naujosios Vilnios","Astravo",,
"Naujosios Vilnios","Austrų",,
"Naujosios Vilnios","Ašmenėlės",,
"Naujosios Vilnios","Audronės",,
"Naujosios Vilnios","Bagušių",,
"Naujosios Vilnios","Bajoriūnų",,
"Naujosios Vilnios","Petro Babickio",,
"Naujosios Vilnios","M. Balinsko",,
"Naujosios Vilnios","Baniškių",,
"Naujosios Vilnios","Baniškių Sodų 1-oji ",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 2-oji ",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 3-oji ",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 4-oji",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 5-oji",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 6-oji",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 7-oji",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Baniškių Sodų 8-oji",,"s/b „Agregatas‘ iki s/b „Svajonė – 33“ "
"Naujosios Vilnios","Broniaus Kazio Balučio",,
"Naujosios Vilnios","Saliamono Banaičio",,
"Naujosios Vilnios","St. Batoro","15-9999, 98-10000",
"Naujosios Vilnios","Stasio Antano Bačkio",,
"Naujosios Vilnios","Bedugnės",,
"Naujosios Vilnios","Belmonto","17-9999, 36-10000",
"Naujosios Vilnios","Benekainių",,
"Naujosios Vilnios","Bičių",,
"Naujosios Vilnios","K. Bizausko",,
"Naujosios Vilnios","Biržiškų",,
"Naujosios Vilnios","Briedžių",,
"Naujosios Vilnios","Brolių Mozerių",,
"Naujosios Vilnios","V. Čarneckio",,
"Naujosios Vilnios","Čekų",,
"Naujosios Vilnios","Čekėnų",,
"Naujosios Vilnios","Čepkelių",,
"Naujosios Vilnios","K. Čibiro",,
"Naujosios Vilnios","Čiobrelių",,
"Naujosios Vilnios","J. Čiurlionytės",,
"Naujosios Vilnios","J. Cicėno",,
"Naujosios Vilnios","Degutiškių",,
"Naujosios Vilnios","Dukelių",,
"Naujosios Vilnios","Dūmų",,
"Naujosios Vilnios","Darželio",,
"Naujosios Vilnios","Daulių",,
"Naujosios Vilnios","M. Davainio-Silvestraičio",,
"Naujosios Vilnios","Dilgynės","1-9999",
"Naujosios Vilnios","Draugystės",,
"Naujosios Vilnios","Daubėnų",,
"Naujosios Vilnios","Danų",,
"Naujosios Vilnios","Džiaugsmo",,
"Naujosios Vilnios","Eglinės Sodų",,
"Naujosios Vilnios","Eglinės  Sodų 1-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 2-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 3-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 4-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 5-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 6-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 7-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 8-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 9-oji ",,
"Naujosios Vilnios","Eglinės  Sodų 10-oji ",,
"Naujosios Vilnios","Estų",,
"Naujosios Vilnios","Galinės",,
"Naujosios Vilnios","Garsioji",,
"Naujosios Vilnios","Genių",,
"Naujosios Vilnios","Gerovės",,
"Naujosios Vilnios","Gerviškių",,
"Naujosios Vilnios","Gluosnių",,
"Naujosios Vilnios","Graikų",,
"Naujosios Vilnios","Graužados",,
"Naujosios Vilnios","B. Grigo",,
"Naujosios Vilnios","Grigaičių",,
"Naujosios Vilnios","Grikių",,
"Naujosios Vilnios","Grūdų",,
"Naujosios Vilnios","Z. Gulevič",,
"Naujosios Vilnios","Gurių","2-14, 1-9999",
"Naujosios Vilnios","Gurių Sodų",,"s/b „Aguona‘ iki s/b „Statybininkas“"
"Naujosios Vilnios","Grūdų Sodų 1-oji",,
"Naujosios Vilnios","Grūdų Sodų 2-oji ",,
"Naujosios Vilnios","Grūdų Sodų 3-oji ",,
"Naujosios Vilnios","Grūdų Sodų 4-oji ",,
"Naujosios Vilnios","Grūdų Sodų 5-oji ",,
"Naujosios Vilnios","Grūdų Sodų 6-oji ",,
"Naujosios Vilnios","Grūdų Sodų 7-oji ",,
"Naujosios Vilnios","Grūdų Sodų 8-oji ",,
