full_name,institution_name,institution_id,institution_type,email,contact_info
Stasys Šedbaras,Tauragės rinkimų apygarda Nr. 34,35,2,Stasys.Sedbaras@lrs.lt,"Dariaus ir Girėno g. 22, LT-72251, Tauragė"
Jonas Jagminas,Plungės-Rietavo rinkimų apygarda Nr. 35,36,2,Jonas.Jagminas@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Vaidotas Bacevičius,Kretingos rinkimų apygarda Nr. 36,37,2,Vaidotas.Bacevicius@lrs.lt,"Vilniaus g. 1, LT-97125, Kretinga"
Jonas Stanevičius,Skuodo-Mažeikių rinkimų apygarda Nr. 37,38,2,Jonas.Stanevicius@lrs.lt,"Vilniaus g. 13-316, LT-98112, Skuodas"
Stanislovas Giedraitis,Mažeikių rinkimų apygarda Nr. 38,39,2,Stanislovas.Giedraitis@lrs.lt,"Stoties g. 18-215, LT-89226, Mažeikiai"
Saulius Bucevičius,Akmenės-Joniškio rinkimų apygarda Nr. 39,40,2,Saulius.Bucevicius@lrs.lt,"L. Petravičiaus a. 2, LT-85132, Naujoji Akmenė"
Almantas Petkus,Telšių rinkimų apygarda Nr. 40,41,2,Almantas.Petkus@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Kęstutis Masiulis,Kelmės rinkimų apygarda Nr. 41,42,2,,"Vytauto Didžiojo g. 58-22, LT-86143, Kelmė"
Edmundas Jonyla,Raseinių rinkimų apygarda Nr. 42,43,2,Edmundas.Jonyla@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Virginija Baltraitienė,Kėdainių rinkimų apygarda Nr. 43,44,2,Virginija.Baltraitiene@lrs.lt,"J. Basanavičiaus g. 36-304, LT-57288, Kėdainiai"
Algimantas Salamakinas,Radviliškio rinkimų apygarda Nr. 44,45,2,Algimantas.Salamakinas@lrs.lt,"Aušros a. 10, LT-82123, Radviliškis"
Rima Baškienė,Šiaulių kaimiškoji rinkimų apygarda Nr. 45,46,2,Rima.Baskiene@lrs.lt,"Vilniaus g. 263-110, LT-76337, Šiauliai J. Basanavičiaus g. 5-11, LT-81156, Kuršėnai"
Jonas Juozapaitis,Pakruojo-Joniškio rinkimų apygarda Nr. 46,47,2,Jonas.Juozapaitis@lrs.lt,"Livonijos g. 4-121, LT-84124, Joniškis Kęstučio g. 4-303, LT-83152, Pakruojis"
Antanas Matulas,Pasvalio-Panevėžio rinkimų apygarda Nr. 47,48,2,Antanas.Matulas@lrs.lt,"Vytauto Didžiojo a. 1-36, LT-39143, Pasvalys,  Vasario 16-osios g. 27-126, LT-35185, Panevėžys"
Valdemaras Valkiūnas,Biržų-Kupiškio rinkimų apygarda Nr. 48,49,2,Valdemaras.Valkiunas@lrs.lt,"Vytauto g. 59-101, LT-41144, Biržai"
Antanas Baura,Anykščių-Kupiškio rinkimų apygarda Nr. 49,50,2,Antanas.Baura@lrs.lt,"K. Ladigos g. 1-212, LT-29111, Anykščiai"
Algis Kazulėnas,Rokiškio rinkimų apygarda Nr. 50,51,2,Algis.Kazulenas@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Edmundas Pupinis,Utenos rinkimų apygarda Nr. 51,52,2,Edmundas.Pupinis@lrs.lt,"Utenio a. 4-324, LT-41144, Utena"
Algimantas Dumbrava,Zarasų-Visagino rinkimų apygarda Nr. 52,53,2,Algimantas.Dumbrava@lrs.lt,"Sėlių a. 22, LT-32110, Zarasai"
Konstantas Ramelis,Ignalinos-Švenčionių rinkimų apygarda Nr. 53,54,2,Konstantas.Ramelis@lrs.lt,"Adutiškio g. 2, LT-18109, Švenčionys"
Valentinas Stundys,Molėtų-Švenčionių rinkimų apygarda Nr. 54,55,2,Valentinas.Stundys@lrs.lt,"Vilniaus g. 44, LT-33140, Molėtai Vilniaus g. 1/11, Švenčionėliai, Upės g. 40, Pabradė"
Michal Mackevič,Širvintų-Vilniaus rinkimų apygarda Nr. 55,56,2,Michal.Mackevic@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Valdemar Tomaševski,Vilniaus-Šalčininkų rinkimų apygarda Nr. 56,57,2,valdemar.tomasevski@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Jaroslav Narkevič,Vilniaus-Trakų rinkimų apygarda Nr. 57,58,2,Jaroslav.Narkevic@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Jonas Liesys,Trakų-Elektrėnų rinkimų apygarda Nr. 58,59,2,Jonas.Liesys@lrs.lt,"V. Kudirkos g. 12A, LT-21105, Trakai"
Bronius Bradauskas,Kaišiadorių-Elektrėnų rinkimų apygarda Nr. 59,60,2,Bronius.Bradauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Rimantas Sinkevičius,Jonavos rinkimų apygarda Nr. 60,61,2,Rimantas.Sinkevicius@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Julius Veselka,Ukmergės rinkimų apygarda Nr. 61,62,2,Julius.Veselka@lrs.lt,"Gedimino pr. 53, LT- 01109, Vilnius"
Bronius Pauža,Jurbarko rinkimų apygarda Nr. 62,63,2,Bronius.Pauza@lrs.lt,"Kauno g. 25, LT-74122, Jurbarkas"
Mantas Varaška,Suvalkijos rinkimų apygarda Nr. 63,64,2,Mantas.Varaska@lrs.lt,"Gedimino g. 1, LT-69401, Kazlų Rūda, Laisvės g. 5A, Kalvarija"
Mindaugas Bastys,Šakių rinkimų apygarda Nr. 64,65,2,Mindaugas.Bastys@lrs.lt,"Bažnyčios g. 4, LT-71120, Šakiai"
Justinas Urbanavičius,Kauno-Kėdainių rinkimų apygarda Nr. 65,66,2,Justinas.Urbanavicius@lrs.lt,"Savanorių pr. 371-326, LT-49500, Kaunas, J. Basanavičiaus g. 36-316, LT-57288, Kėdainiai"
Donatas Jankauskas,Kauno kaimiškoji rinkimų apygarda Nr. 66,67,2,Donatas.Jankauskas@lrs.lt,"Savanorių pr. 371-325, LT-49500, Kaunas"
Juozas Palionis,Prienų rinkimų apygarda Nr. 67,68,2,Juozas.Palionis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Algirdas Butkevičius,Vilkaviškio rinkimų apygarda Nr. 68,69,2,Algirdas.Butkevicius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Antanas Nedzinskas,Dzūkijos rinkimų apygarda Nr. 69,70,2,Antanas.Nedzinskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Algis Kašėta,Varėnos-Eišiškių rinkimų apygarda Nr. 70,71,2,Algis.Kaseta@lrs.lt,"Gegužės a. 19, Eišiškės, Vytauto g. 5, LT-65169, Varėna"
Justinas Karosas,Lazdijų-Druskininkų rinkimų apygarda Nr. 71,72,2,Justinas.Karosas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Remigijus Ačas,Išrinktas pagal sąrašą,73,2,Remigijus.Acas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vytenis Povilas Andriukaitis,Išrinktas pagal sąrašą,73,2,Vytenis.Andriukaitis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Arvydas Anušauskas,Išrinktas pagal sąrašą,73,2,Arvydas.Anusauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Petras Auštrevičius,Išrinktas pagal sąrašą,73,2,Petras.Austrevicius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vincas Babilius,Išrinktas pagal sąrašą,73,2,Vincas.Babilius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Dailis Alfonsas Barakauskas,Išrinktas pagal sąrašą,73,2,Dailis.Barakauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Asta Baukutė,Išrinkta pagal sąrašą,74,2,Asta.Baukute@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Agnė Bilotaitė,Išrinkta pagal sąrašą,74,2,Agne.Bilotaite@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vytautas Bogušis,Išrinktas pagal sąrašą,73,2,Vytautas.Bogusis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Dainius Budrys,Išrinktas pagal sąrašą,73,2,Dainius.Budrys@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Valentinas Bukauskas,Išrinktas pagal sąrašą,73,2,Valentinas.Bukauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Algis Čaplikas,Išrinktas pagal sąrašą,73,2,Algis.Caplikas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Kęstutis Daukšys,Išrinktas pagal sąrašą,73,2,Kestutis.Dauksys@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Laimontas Dinius,Išrinktas pagal sąrašą,73,2,Laimontas.Dinius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vytautas Galvonas,Išrinktas pagal sąrašą,73,2,Vytautas.Galvonas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vytautas Gapšys,Išrinktas pagal sąrašą,73,2,Vytautas.Gapsys@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vydas Gedvilas,Išrinktas pagal sąrašą,73,2,Vydas.Gedvilas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Loreta Graužinienė,Išrinkta pagal sąrašą,74,2,Loreta.Grauziniene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Česlovas Juršėnas,Išrinktas pagal sąrašą,73,2,Ceslovas.Jursenas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Linas Karalius,Išrinktas pagal sąrašą,73,2,Linas.Karalius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Ligitas Kernagis,Išrinktas pagal sąrašą,73,2,Ligitas.Kernagis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Gediminas Kirkilas,Išrinktas pagal sąrašą,73,2,Gediminas.Kirkilas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Egidijus Klumbys,Išrinktas pagal sąrašą,73,2,Egidijus.Klumbys@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Kęstas Komskis,Išrinktas pagal sąrašą,73,2,Kestas.Komskis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Dalia Kuodytė,Išrinktas pagal sąrašą,73,2,Dalia.Kuodyte@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vytautas Kurpuvesas,Išrinktas pagal sąrašą,73,2,Vytautas.Kurpuvesas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Kazimieras Kuzminskas,Išrinktas pagal sąrašą,73,2,Kazimieras.Kuzminskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Arminas Lydeka,Išrinktas pagal sąrašą,73,2,Arminas.Lydeka@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vitas Matuzas,Išrinktas pagal sąrašą,73,2,Vitas.Matuzas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Andrius Mazuronis,Išrinktas pagal sąrašą,73,2,Andrius.Mazuronis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Valentinas Mazuronis,Išrinktas pagal sąrašą,73,2,Valentinas.Mazuronis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Donalda Meiželytė Svilienė,Išrinkta pagal sąrašą,74,2,Donalda.Meizelyte@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Dangutė Mikutienė,Išrinkta pagal sąrašą,74,2,Dangute.Mikutiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Gediminas Navaitis,Išrinktas pagal sąrašą,73,2,Gediminas.Navaitis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Juozas Olekas,Išrinktas pagal sąrašą,73,2,Juozas.Olekas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Marija Aušrinė Pavilionienė,Išrinkta pagal sąrašą,74,2,marija.pavilioniene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Saulius Pečeliūnas,Išrinktas pagal sąrašą,73,2,Saulius.Peceliunas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Milda Petrauskienė,Išrinkta pagal sąrašą,74,2,Milda.Petrauskiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Jonas Pinskus,Išrinktas pagal sąrašą,73,2,jonas.pinskus@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Auksutė Ramanauskaitė-Skokauskienė,Išrinkta pagal sąrašą,74,2,Auksute.Skokauskiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Jonas Ramonas,Išrinktas pagal sąrašą,73,2,Jonas.Ramonas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Jurgis Razma,Išrinktas pagal sąrašą,73,2,Jurgis.Razma@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Rimas Antanas Ručys,Išrinktas pagal sąrašą,73,2,Rimas.Rucys@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Rūta Rutkelytė,Išrinkta pagal sąrašą,74,2,Ruta.Rutkelyte@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Julius Sabatauskas,Išrinktas pagal sąrašą,73,2,Julius.Sabatauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Liudvikas Sabutis,Išrinktas pagal sąrašą,73,2,Liudvikas.Sabutis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Aleksandr Sacharuk,Išrinktas pagal sąrašą,73,2,Aleksandr.Sacharuk@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Algirdas Sysas,Išrinktas pagal sąrašą,73,2,Algirdas.Sysas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Rimantas Smetona,Išrinktas pagal sąrašą,73,2,Rimantas.Smetona@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Gintaras Songaila,Išrinktas pagal sąrašą,73,2,Gintaras.Songaila@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Aurelija Stancikienė,Išrinkta pagal sąrašą,74,2,Aurelija.Stancikiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Česlovas Vytautas Stankevičius,Išrinktas pagal sąrašą,73,2,Ceslovas.Stankevicius@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Saulius Stoma,Išrinktas pagal sąrašą,73,2,Saulius.Stoma@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Irena Šiaulienė,Išrinkta pagal sąrašą,74,2,Irena.Siauliene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Žilvinas Šilgalis,Išrinktas pagal sąrašą,73,2,Zilvinas.Silgalis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Jonas Šimėnas,Išrinktas pagal sąrašą,73,2,Jonas.Simenas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Leonard Talmont,Išrinktas pagal sąrašą,73,2,Leonard.Talmont@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Erikas Tamašauskas,Išrinktas pagal sąrašą,73,2,Erikas.Tamasauskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Dalia Teišerskytė,Išrinkta pagal sąrašą,74,2,Dalia.Teiserskyte@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Kazimieras Uoka,Išrinktas pagal sąrašą,73,2,Kazimieras.Uoka@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Arūnas Valinskas,Išrinktas pagal sąrašą,73,2,Arunas.Valinskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Ingrida Valinskienė,Išrinkta pagal sąrašą,74,2,Ingrida.Valinskiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Ona Valiukevičiūtė,Išrinkta pagal sąrašą,74,2,Ona.Valiukeviciute@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Egidijus Vareikis,Išrinktas pagal sąrašą,73,2,Egidijus.Vareikis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Birutė Vėsaitė,Išrinkta pagal sąrašą,74,2,Birute.Vesaite@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Arvydas Vidžiūnas,Išrinktas pagal sąrašą,73,2,Arvydas.Vidziunas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Mečislovas Zasčiurinskas,Išrinktas pagal sąrašą,73,2,Mecislovas.Zasciurinskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Emanuelis Zingeris,Išrinktas pagal sąrašą,73,2,Emanuelis.Zingeris@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Agnė Zuokienė,Išrinkta pagal sąrašą,74,2,Agne.Zuokiene@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Remigijus Žemaitaitis,Išrinktas pagal sąrašą,73,2,Remigijus.Zemaitaitis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vidmantas Žiemelis,Išrinktas pagal sąrašą,73,2,Vidmantas.Ziemelis@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Rokas Žilinskas,Išrinktas pagal sąrašą,73,2,Rokas.Zilinskas@lrs.lt,"Gedimino pr. 53, LT-01109, Vilnius"
Vitalijus Mitrofanovas,Akmenės rajono savivaldybė,75,3,meras@akmene.lt,"L. Petravičiaus aikštė 2, LT-85132 Naujoji Akmenė"
Česlovas Daugėla,Alytaus miesto savivaldybė,76,3,c.daugela@ams.lt,"Rotušės a. 4, Alytus, LT-62504 Alytus. Kabinetas 203"
Algirdas Vrubliauskas,Alytaus rajono savivaldybė,77,3,meras@arsa.lt,"Pulko g. 21, LT-62133 Alytus"
Sigutis Obelevičius,Anykščių rajono savivaldybė,78,3,sigutis.obelevicius@anyksciai.lt,"J.Biliūno g. 23, LT-29111 Anykščiai"
Nijolė Dirginčienė,Birštono savivaldybė,79,3,meras@birstonas.lt,"Jaunimo g. 2, LT-59206, Birštonas. Kabinetas 207"
Regimantas Ramonas,Biržų rajono savivaldybė,80,3,savivaldybe@birzai.lt,"Vytauto g. 38, LT-41143, Biržai"
Ričardas Malinauskas,Druskininkų savivaldybė,81,3,meras@druskininkai.lt,"Vilniaus al. 18, LT-66119 Druskininkai"
Arvydas Vyšniauskas,Elektrėnų savivaldybė,82,3,meras@elektrenai.lt,"Elektrinės g. 8, LT-26108 Elektrėnai"
Bronis Ropė,Ignalinos rajono savivaldybė,83,3,meras@ignalina.lt,"Laisvės a. 70, LT-30122 Ignalina"
Bronislovas Liutkus,Jonavos rajono savivaldybė,84,3,meras@jonava.lt,"Žeimių g. 13, LT-55158 Jonava. Kabinetas 216"
Romaldas Gadeikis,Joniškio rajono savivaldybė,85,3,romaldas.gadeikis@joniskis.lt,"Livonijos g. 4, LT-84124, Joniškis"
Ričardas Juška,Jurbarko rajono savivaldybė,86,3,meras@jurbarkas.lt,"Dariaus ir Girėno g. 96, LT-74187, Jurbarkas"
Romualdas Urmilevičius,Kaišiadorių rajono savivaldybė,87,3,meras@kaisiadorys.lt ,"Bažnyčios g.4, LT-4230, Kaišiadorys"
Jonas Ščeponis,Kalvarijos savivaldybė,88,3,meras@kalvarija.lt,"Laisvės g. 2, LT-69214 Kalvarija"
Andrius Kupčinskas,Kauno miesto savivaldybė,89,3,meras@kaunas.lt,"Laisvės al. 96, LT-44251 Kaunas. Kabinetas 201"
Valerijus Makūnas,Kauno rajono savivaldybė,90,3,v.makunas@krs.lt,"Savanorių pr. 371, LT-49500 Kaunas. Kabinetas 302"
Vytautas Kanevičius,Kazlų Rūdos savivaldybė,91,3,meras@kazluruda.lt,"Atgimimo g. 12, LT-69443 Kazlų Rūda"
Kostas Arvasevičius,Kelmės rajono savivaldybė,92,3,meras@kelme.lt,"Vytauto Didžiojo g. 58, LT-86143 Kelmė"
Nijolė Naujokienė,Kėdainių rajono savivaldybė,93,3,mere@kedainiai.lt,"J. Basanavičiaus g. 36, LT-57288 Kėdainiai"
Rimantas Taraškevičius,Klaipėdos miesto savivaldybė,94,3,meras@klaipeda.lt,"Liepų g. 11, LT-91502, Klaipėda"
Vaclovas Dačkauskas,Klaipėdos rajono savivaldybė,95,3,meras@klaipedos-r.lt,"Klaipėdos g. 2, Gargždai, LT-96130, Klaipėdos r."
Juozas Mažeika,Kretingos rajono savivaldybė,96,3,meras@kretinga.lt,"Savanorių g. 29 A, LT-97111, Kretinga. Kabinetas 201"
Jonas Jarutis,Kupiškio rajono savivaldybė,97,3,meras@kupiskis.lt,"Vytauto g. 2, LT-40115, Kupiškis"
Artūras Margelis,Lazdijų rajono savivaldybė,98,3,meras@lazdijai.lt,"Vilniaus g. 1, LT-67106, Lazdijai"
Vidmantas Brazys,Marijampolės savivaldybė,99,3,meras@marijampole.lt,"J. Basanavičiaus a. 1, LT-68307, Marijampolė. Kabinetas 206"
Vilhelmas Džiugelis,Mažeikių rajono savivaldybė,100,3,meras@mazeikiai.lt,"Laisvės g. 8, LT-89223 Mažeikiai. Kabinetas 211"
Algimantas Žiukas,Molėtų rajono savivaldybė,101,3,meras@moletai.lt,"Vilniaus g. 44, LT-33140, Molėtai"
Vigantas Giedraitis,Neringos savivaldybė,102,3,v.giedraitis@neringa.lt,"Taikos g.2, LT-93121, Neringa"
Virginijus Komskis,Pagėgių savivaldybė,103,3,meras@pagegiai.lt,"Vilniaus g. 11, LT-99288, Pagėgiai"
Saulius Gegieckas,Pakruojo rajono savivaldybė,104,3,meras@pakruojis.lt,"Kestučio g. 4, LT-83152, Pakruojis. Kabinetas 201"
Vytautas Stalmokas,Palangos miesto savivaldybė,105,3,meras@palanga.lt,"Vytauto g. 73, LT-00134, Palanga"
Vitalijus Satkevičius,Panevėžio miesto savivaldybė,106,3,meras@panevezys.lt,"Laisvės a. 20, LT-35200, Panevėžys"
Povilas Žagunis,Panevėžio rajono savivaldybė,107,3,zagunis@panrs.lt,"Vasario 16-osios g.27, LT-35185, Panevėžys"
Gintautas Gegužinskas,Pasvalio rajono savivaldybė,108,3,meras@pasvalys.lt,"Vytauto Didžiojo a. 1, LT-39043, Pasvalys. Kabinetas 218"
